"V1","casename","docket","circuit","cite","year","month","day","unpub","area","enbanc","femplaintiff","name","vote","child","girls","woman","birth","republican","songerID","sons","X","pname","id","pres","mona","yeara","monl","yearl","yearb","yeard","pleft","left","party","state","city","circuit.1","elevate","gender","race","name.1","appres","pleftsum","boom","crossa","crossl","mrespty","prespty","dummy","ids","religion","csb","ba","bast","bapp","ls","lsst","jdpp","graddeg1","graddeg2","graddeg3","pfedjdge","pfjdget","pssc","pslc","plocct","poutsjge","psjdget","pausa","pusa","psgo","psg","pago","paag","pag","pcc","psp","pspros","pmag","pbj","pcab","pcabdept","pscab","pscabdpt","pindreg1","preg1","pindreg2","preg2","pindreg3","preg3","pindreg4","preg4","pindreg5","preg5","phouse","psenate","pgov","pssenate","pshouse","pmayor","pccoun","pccom","pda","plother","plotherl","pgovt","plawprof","pprivate","prevpos","pmagis","pcomct","pdat","pada","pbank","pterr","pcustom","statecab","age","extra1","extra2","extra3","extra4","amon","ayear","X___l","X___j","X___char","pos1","pos1yrs","pos2","pos2yrs","pos3","pos3yrs","pos4","pos4yrs","pos5","pos5yrs","pos6","pos6yrs","pos7","pos7yrs","pos8","pos8yrs","pos9","pos9yrs","pos10","pos10yrs","pos11","pos11yrs","pos12","pos12yrs","pos13","pos13yrs","pos14","pos14yrs","pos15","pos15yrs","type","pred","recdatem","recdatey","reccon","extra5","assets","liable","aba","add1","abamin","seatno","success","seatno2","pseatno","lsuc","ls2","ls3","lp","lp2","lp3","ls1","count","seatno4","pseatno4","sseatno4","seatno3","pseatno3","sseatno3","lsuc2","pseatno2","sseatno2","sseatno","sids","tids","samon","sayear","tamon","tayear","year.1","dsen","rsen","dhouse","rhouse","dal","dak","daz","dar","dca","dco","dct","dde","dfl","dga","dhi","did","dil","din","dio","dks","dky","dla","dme","dmd","dma","dmi","dmn","dms","dmo","dmt","dne","dnv","dnh","dnj","dnm","dny","dnc","dnd","doh","dok","dor","dpa","dri","dsc","dsd","dtn","dtx","dut","dvt","dva","dwa","dwv","dwi","dwy","source1","source2","courtesy","appage","sseatno5","sseatno6","pname2","pname3","pname4","dcother","uporoutt","senmaj","senmin","yeari","yearc","congress","unity","e1","e2","e3","e4","e5","e6","congresi","unityi","hdem","hrep","sdem","srep","hother","sother","yearo","congreso","unityo","recess","networth","agego","service","ageon","capsnames","progressive.vote"
1,"Dunaway v. Int'l Bhd. of Teamsters","Jan-22","DC","310 F.3d 758",2002,11,15,0,"employment","0",1,"Sentelle, David B.",2,3,2,0,1943,1,1235,1,533,"Scalia, Antonin",13640,22,9,1987,99,9999,1943,9999,99,9,0,51,5110,12,22,1,1,"Sentelle, David B.",0,3,1,0,2,0,NA,1,1235,3,3308,62,1,0,62,1,0,0,0,0,1,2,0,1,0,33,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,44,NA,NA,NA,NA,9,1987,NA,NA,"",1,12,31,8,4,3,5,4,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13340,NA,NA,0,NA,256600,109900,2,0,0,"DC.04.07","0","","DC.04.06","01/06/01","03/05/03","07/01/05","","03/05/01","07/01/03","0",1,NA,NA,NA,NA,NA,NA,NA,NA,"","0",NA,NA,NA,NA,NA,NA,1987,55,45,258,177,2,0,1,2,1,1,1,1,2,2,2,0,2,0,1,0,1,2,1,2,2,2,0,1,0,2,2,1,0,2,1,1,1,2,2,1,0,0,1,1,1,2,1,0,1,0,1,2,1,0,13,14,NA,44,NA,NA,NA,NA,NA,NA,1,55,45,1987,NA,"",NA,NA,NA,NA,NA,NA,NA,"100TH",1,258,177,55,45,0,0,9999,"",NA,0,146700,8056,8012,44,"SENTELLE",1
2,"Peyton v. DiMario","00-5407","DC","287 F.3d 1121",2002,4,23,0,"employment","0",1,"Ginsburg, Douglas, H.",2,3,3,0,1946,1,1215,0,219,"Wright, James Skelly",3665,22,10,1986,99,9999,1946,9999,99,9,0,51,5110,12,25,1,1,"Ginsburg, Douglas, H.",0,3,0,0,2,0,NA,1,1215,5,1325,22,1,1,17,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,1,40,NA,NA,NA,NA,10,1986,NA,NA,"",9,1,113,1,9,1,30,8,47,1,167,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21460,NA,NA,0,NA,NA,NA,3,0,0,"DC.02.07","0","","DC.02.06","09/02/01","08/07/05","08/07/04","","08/07/03","08/07/02","09/02/02",1,NA,NA,NA,NA,NA,NA,NA,NA,"","0",NA,NA,NA,NA,NA,NA,1986,47,53,253,182,1,0,1,2,1,1,1,1,1,1,2,0,2,0,1,0,1,2,1,2,2,2,0,1,1,2,2,0,0,2,1,1,0,1,2,1,0,0,1,1,0,2,1,0,1,0,0,2,1,0,13,14,NA,40,NA,NA,NA,NA,NA,NA,0,53,47,1986,NA,"",NA,NA,NA,NA,NA,NA,NA,"99TH",2,253,182,47,53,0,0,9999,"",NA,0,NA,8053,8013,40,"GINSBURG",1
3,"Stella v. Mineta","00-5458","DC","284 F.3d 135",2002,3,29,0,"employment","0",1,"Ginsburg, Douglas, H.",2,3,3,0,1946,1,1215,0,219,"Wright, James Skelly",3665,22,10,1986,99,9999,1946,9999,99,9,0,51,5110,12,25,1,1,"Ginsburg, Douglas, H.",0,3,0,0,2,0,NA,1,1215,5,1325,22,1,1,17,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,1,40,NA,NA,NA,NA,10,1986,NA,NA,"",9,1,113,1,9,1,30,8,47,1,167,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21460,NA,NA,0,NA,NA,NA,3,0,0,"DC.02.07","0","","DC.02.06","09/02/01","08/07/05","08/07/04","","08/07/03","08/07/02","09/02/02",1,NA,NA,NA,NA,NA,NA,NA,NA,"","0",NA,NA,NA,NA,NA,NA,1986,47,53,253,182,1,0,1,2,1,1,1,1,1,1,2,0,2,0,1,0,1,2,1,2,2,2,0,1,1,2,2,0,0,2,1,1,0,1,2,1,0,0,1,1,0,2,1,0,1,0,0,2,1,0,13,14,NA,40,NA,NA,NA,NA,NA,NA,0,53,47,1986,NA,"",NA,NA,NA,NA,NA,NA,NA,"99TH",2,253,182,47,53,0,0,9999,"",NA,0,NA,8053,8013,40,"GINSBURG",1
4,"Makins v. District of Columbia","Jan-29","DC","277 F.3d 544",2002,1,18,0,"employment","0",1,"Ginsburg, Douglas, H.",3,3,3,0,1946,1,1215,0,219,"Wright, James Skelly",3665,22,10,1986,99,9999,1946,9999,99,9,0,51,5110,12,25,1,1,"Ginsburg, Douglas, H.",0,3,0,0,2,0,NA,1,1215,5,1325,22,1,1,17,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,1,40,NA,NA,NA,NA,10,1986,NA,NA,"",9,1,113,1,9,1,30,8,47,1,167,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21460,NA,NA,0,NA,NA,NA,3,0,0,"DC.02.07","0","","DC.02.06","09/02/01","08/07/05","08/07/04","","08/07/03","08/07/02","09/02/02",1,NA,NA,NA,NA,NA,NA,NA,NA,"","0",NA,NA,NA,NA,NA,NA,1986,47,53,253,182,1,0,1,2,1,1,1,1,1,1,2,0,2,0,1,0,1,2,1,2,2,2,0,1,1,2,2,0,0,2,1,1,0,1,2,1,0,0,1,1,0,2,1,0,1,0,0,2,1,0,13,14,NA,40,NA,NA,NA,NA,NA,NA,0,53,47,1986,NA,"",NA,NA,NA,NA,NA,NA,NA,"99TH",2,253,182,47,53,0,0,9999,"",NA,0,NA,8053,8013,40,"GINSBURG",1
6,"Stewart v. Evans","Jan-36","DC","275 F.3d 1126",2002,1,11,0,"employment","0",1,"Ginsburg, Douglas, H.",2,3,3,0,1946,1,1215,0,219,"Wright, James Skelly",3665,22,10,1986,99,9999,1946,9999,99,9,0,51,5110,12,25,1,1,"Ginsburg, Douglas, H.",0,3,0,0,2,0,NA,1,1215,5,1325,22,1,1,17,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,1,40,NA,NA,NA,NA,10,1986,NA,NA,"",9,1,113,1,9,1,30,8,47,1,167,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21460,NA,NA,0,NA,NA,NA,3,0,0,"DC.02.07","0","","DC.02.06","09/02/01","08/07/05","08/07/04","","08/07/03","08/07/02","09/02/02",1,NA,NA,NA,NA,NA,NA,NA,NA,"","0",NA,NA,NA,NA,NA,NA,1986,47,53,253,182,1,0,1,2,1,1,1,1,1,1,2,0,2,0,1,0,1,2,1,2,2,2,0,1,1,2,2,0,0,2,1,1,0,1,2,1,0,0,1,1,0,2,1,0,1,0,0,2,1,0,13,14,NA,40,NA,NA,NA,NA,NA,NA,0,53,47,1986,NA,"",NA,NA,NA,NA,NA,NA,NA,"99TH",2,253,182,47,53,0,0,9999,"",NA,0,NA,8053,8013,40,"GINSBURG",1
7,"Thomas v. NFL Players Ass'n","Jan-23","DC","273 F.3d 1124",2001,12,11,0,"employment","0",1,"Sentelle, David B.",3,3,2,0,1943,1,1235,1,533,"Scalia, Antonin",13640,22,9,1987,99,9999,1943,9999,99,9,0,51,5110,12,22,1,1,"Sentelle, David B.",0,3,1,0,2,0,NA,1,1235,3,3308,62,1,0,62,1,0,0,0,0,1,2,0,1,0,33,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,44,NA,NA,NA,NA,9,1987,NA,NA,"",1,12,31,8,4,3,5,4,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13340,NA,NA,0,NA,256600,109900,2,0,0,"DC.04.07","0","","DC.04.06","01/06/01","03/05/03","07/01/05","","03/05/01","07/01/03","0",1,NA,NA,NA,NA,NA,NA,NA,NA,"","0",NA,NA,NA,NA,NA,NA,1987,55,45,258,177,2,0,1,2,1,1,1,1,2,2,2,0,2,0,1,0,1,2,1,2,2,2,0,1,0,2,2,1,0,2,1,1,1,2,2,1,0,0,1,1,1,2,1,0,1,0,1,2,1,0,13,14,NA,44,NA,NA,NA,NA,NA,NA,1,55,45,1987,NA,"",NA,NA,NA,NA,NA,NA,NA,"100TH",1,258,177,55,45,0,0,9999,"",NA,0,146700,8056,8012,44,"SENTELLE",1
8,"LaPrade v. Kidder, Peabody & Co.","00-7082","DC","246 F.3d 702",2001,4,24,0,"employment","0",1,"Williams, Stephen F.",1,5,2,0,1936,1,1246,3,659,"Wilkey, Malcolm R.",20460,22,6,1986,9,2001,1936,9999,93,3,0,51,5110,12,25,1,1,"Williams, Stephen F.",0,3,0,0,2,0,NA,1,1246,NA,3260,99,1,1,39,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,30,0,0,0,0,0,0,0,1,50,NA,NA,NA,NA,6,1986,NA,NA,"",30,17,5,3,31,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20080,NA,NA,0,NA,NA,NA,3,0,0,"DC.01.09","0","","DC.01.08","10/03/02","05/11/03","0","10/03/01","05/11/01","04/05/02","10/03/03",1,NA,NA,NA,NA,NA,NA,NA,NA,"","0",NA,NA,NA,NA,NA,NA,1986,47,53,253,182,1,0,1,2,1,1,1,1,1,1,2,0,2,0,1,0,1,2,1,2,2,2,0,1,1,2,2,0,0,2,1,1,0,1,2,1,0,0,1,1,0,2,1,0,1,0,0,2,1,0,13,14,NA,50,NA,NA,NA,NA,NA,NA,0,53,47,1986,2001,"107TH",3,212,221,50,50,2,1,"99TH",2,253,182,47,53,0,0,2001,"107TH",3,0,NA,65,15,50,"WILLIAMS",0
11,"Jones v. Washington Metro. Area Transit Auth.","97-7186","DC","205 F.3d 428",2000,3,17,0,"employment","0",1,"Silberman, Laurence H.",2,3,2,0,1935,1,1236,1,545,"New Seat",13990,22,10,1985,11,2000,1935,9999,92,3,0,51,5110,12,25,1,1,"Silberman, Laurence Hirsch",0,NA,0,0,1,0,NA,1,1236,5,3899,102,1,1,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,1,3,1,67,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,31,0,0,0,0,0,0,0,1,50,NA,NA,NA,NA,10,1985,NA,NA,"",31,2,460,4,31,1,41,2,9,1,31,1,34,4,60,1,31,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,NA,-98,-98,3,0,0,"DC.12.01","0","","","05/03/03","07/03/02","02/03/02","05/03/02","","","05/03/04",1,NA,NA,NA,NA,NA,NA,NA,NA,"","8",NA,NA,NA,NA,NA,NA,1985,47,53,253,182,1,0,1,2,1,1,1,1,1,1,2,0,2,0,1,0,1,2,1,2,2,2,0,1,1,2,2,0,0,2,1,1,0,1,2,1,0,0,1,1,0,2,1,0,1,0,0,2,1,0,13,14,NA,50,NA,NA,NA,NA,NA,NA,0,53,47,1985,2000,"106TH",1,211,223,45,55,1,NA,"99TH",2,253,182,47,53,0,0,2000,"106TH",1,0,0,65,15,50,"SILBERMAN",1
12,"Borgo v. Goldin","98-5503","DC","204 F.3d 251",2000,3,3,0,"employment","0",1,"Edwards, Harry T.",1,2,1,0,1940,0,1212,1,170,"Bazelon, David",2770,21,2,1980,99,9999,1940,9999,99,9,3,51,5110,12,25,1,2,"Edwards, Harry T.",1,3,0,1,2,NA,1,1,1212,8,3260,22,1,1,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30,0,0,0,0,0,0,0,1,40,NA,NA,NA,NA,2,1980,NA,NA,"",31,6,30,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,530,NA,NA,0,NA,NA,NA,2,0,0,"DC.07.02","0","","DC.07.01","06/05/03","0","DC.05.03","06/05/02","05/19/01","DC.05.01","06/05/04",1,NA,NA,NA,NA,NA,NA,NA,NA,"","0",NA,NA,NA,NA,NA,NA,1980,58,41,277,158,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,0,2,2,1,1,2,2,0,1,1,2,2,1,1,2,0,1,1,1,2,1,0,0,1,1,1,1,1,0,1,1,2,2,2,0,13,14,NA,40,NA,NA,NA,NA,NA,NA,0,58,41,1980,NA,"",NA,NA,NA,NA,NA,NA,NA,"96TH",0,277,158,59,41,0,0,9999,"",NA,0,NA,8059,8019,40,"EDWARDS",0
13,"Gleklen v. Democratic Congressional Campaign Comm., Inc.","99-7041","DC","199 F.3d 1365",2000,1,11,0,"pregnancy","0",1,"Williams, Stephen F.",1,5,2,0,1936,1,1246,3,659,"Wilkey, Malcolm R.",20460,22,6,1986,9,2001,1936,9999,93,3,0,51,5110,12,25,1,1,"Williams, Stephen F.",0,3,0,0,2,0,NA,1,1246,NA,3260,99,1,1,39,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,30,0,0,0,0,0,0,0,1,50,NA,NA,NA,NA,6,1986,NA,NA,"",30,17,5,3,31,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20080,NA,NA,0,NA,NA,NA,3,0,0,"DC.01.09","0","","DC.01.08","10/03/02","05/11/03","0","10/03/01","05/11/01","04/05/02","10/03/03",1,NA,NA,NA,NA,NA,NA,NA,NA,"","0",NA,NA,NA,NA,NA,NA,1986,47,53,253,182,1,0,1,2,1,1,1,1,1,1,2,0,2,0,1,0,1,2,1,2,2,2,0,1,1,2,2,0,0,2,1,1,0,1,2,1,0,0,1,1,0,2,1,0,1,0,0,2,1,0,13,14,NA,50,NA,NA,NA,NA,NA,NA,0,53,47,1986,2001,"107TH",3,212,221,50,50,2,1,"99TH",2,253,182,47,53,0,0,2001,"107TH",3,0,NA,65,15,50,"WILLIAMS",0
