"V1","girls","sons","woman","child","race","republican","circuit","circuit.1","age","religion","yearb","songerID","year","source1","source2","area","z","vote"
1532,0,2,0,2,1,1,"1",1,52,1,1907,101,1997,13,14,"employment",0,1
1538,0,2,0,2,1,1,"1",1,52,1,1907,101,1996,13,14,"employment",0,1
2983,0,2,0,2,1,1,"1",1,52,1,1907,101,1998,13,14,"employment",0,2
1502,1,2,0,3,1,0,"1",1,57,8,1920,104,2001,13,14,"employment",1,1
1512,1,2,0,3,1,0,"1",1,57,8,1920,104,2000,13,14,"employment",1,3
1527,1,2,0,3,1,0,"1",1,57,8,1920,104,1998,13,14,"employment",1,1
1539,1,2,0,3,1,0,"1",1,57,8,1920,104,1996,13,14,"Title IX",1,3
1543,1,2,0,3,1,0,"1",1,57,8,1920,104,1996,13,14,"Title IX",1,2
2669,1,2,0,3,1,0,"1",1,57,8,1920,104,2002,13,14,"employment",1,1
2980,1,2,0,3,1,0,"1",1,57,8,1920,104,1998,13,14,"employment",1,2
1511,2,1,0,3,1,1,"1",1,45,8,1927,106,2000,13,14,"employment",1,1
1514,2,1,0,3,1,1,"1",1,45,8,1927,106,2000,13,14,"employment",1,2
1533,2,1,0,3,1,1,"1",1,45,8,1927,106,1997,13,14,"employment",1,3
1534,2,1,0,3,1,1,"1",1,45,8,1927,106,1997,13,14,"employment",1,2
2670,2,1,0,3,1,1,"1",1,45,8,1927,106,2001,13,14,"employment",1,1
2995,2,1,0,3,1,1,"1",1,45,8,1927,106,1997,13,14,"employment",1,2
1518,3,1,0,4,1,0,"1",1,46,3,1919,107,1999,13,14,"employment",1,3
1520,3,1,0,4,1,0,"1",1,46,3,1919,107,1999,13,14,"employment",1,1
1521,3,1,0,4,1,0,"1",1,46,3,1919,107,1998,13,14,"employment",1,2
1531,3,1,0,4,1,0,"1",1,46,3,1919,107,1997,13,14,"employment",1,1
1536,3,1,0,4,1,0,"1",1,46,3,1919,107,1997,13,14,"employment",1,2
34,2,0,0,2,1,1,"1",1,52,5,1934,114,2002,13,14,"employment",1,1
42,2,0,0,2,1,1,"1",1,52,5,1934,114,2001,13,14,"employment",1,3
46,2,0,0,2,1,1,"1",1,52,5,1934,114,2001,13,14,"employment",1,1
53,2,0,0,2,1,1,"1",1,52,5,1934,114,2000,13,14,"employment",1,3
59,2,0,0,2,1,1,"1",1,52,5,1934,114,1999,13,14,"employment",1,3
71,2,0,0,2,1,1,"1",1,52,5,1934,114,1997,13,14,"employment",1,3
72,2,0,0,2,1,1,"1",1,52,5,1934,114,1997,13,14,"employment",1,1
75,2,0,0,2,1,1,"1",1,52,5,1934,114,1997,13,14,"employment",1,2
79,2,0,0,2,1,1,"1",1,52,5,1934,114,1996,13,14,"employment",1,1
1211,2,0,0,2,1,1,"1",1,52,5,1934,114,2001,13,14,"employment",1,1
1496,2,0,0,2,1,1,"1",1,52,5,1934,114,2002,13,14,"employment",1,3
1497,2,0,0,2,1,1,"1",1,52,5,1934,114,2002,13,14,"employment",1,2
74,0,2,0,2,1,1,"1",1,58,4,1931,118,1997,13,14,"employment",0,3
76,0,2,0,2,1,1,"1",1,58,4,1931,118,1997,13,14,"employment",0,3
1500,0,2,0,2,1,1,"1",1,58,4,1931,118,2001,13,14,"employment",0,1
1505,0,2,0,2,1,1,"1",1,58,4,1931,118,2001,13,14,"employment",0,1
1508,0,2,0,2,1,1,"1",1,58,4,1931,118,2001,13,14,"employment",0,2
1529,0,2,0,2,1,1,"1",1,58,4,1931,118,1998,13,14,"employment",0,3
1542,0,2,0,2,1,1,"1",1,58,4,1931,118,1998,13,14,"employment",0,3
2977,0,2,0,2,1,1,"1",1,58,4,1931,118,1999,13,14,"employment",0,3
2985,0,2,0,2,1,1,"1",1,58,4,1931,118,1998,13,14,"employment",0,2
2990,0,2,0,2,1,1,"1",1,58,4,1931,118,1997,13,14,"employment",0,1
35,1,2,0,3,1,1,"1",1,53,5,1939,120,2002,13,14,"employment",1,1
38,1,2,0,3,1,1,"1",1,53,5,1939,120,2002,13,14,"employment",1,2
40,1,2,0,3,1,1,"1",1,53,5,1939,120,2002,13,14,"employment",1,1
43,1,2,0,3,1,1,"1",1,53,5,1939,120,2001,13,14,"employment",1,1
49,1,2,0,3,1,1,"1",1,53,5,1939,120,2001,13,14,"employment",1,2
58,1,2,0,3,1,1,"1",1,53,5,1939,120,1999,13,14,"employment",1,1
60,1,2,0,3,1,1,"1",1,53,5,1939,120,1999,13,14,"employment",1,3
61,1,2,0,3,1,1,"1",1,53,5,1939,120,1999,13,14,"employment",1,1
62,1,2,0,3,1,1,"1",1,53,5,1939,120,1998,13,14,"employment",1,2
73,1,2,0,3,1,1,"1",1,53,5,1939,120,1997,13,14,"employment",1,1
1524,1,2,0,3,1,1,"1",1,53,5,1939,120,1998,13,14,"employment",1,2
1535,1,2,0,3,1,1,"1",1,53,5,1939,120,1997,13,14,"employment",1,3
2964,1,2,0,3,1,1,"1",1,53,5,1939,120,2001,13,14,"employment",1,1
2971,1,2,0,3,1,1,"1",1,53,5,1939,120,2000,13,14,"employment",1,3
2997,1,2,0,3,1,1,"1",1,53,5,1939,120,1996,13,14,"employment",1,1
51,0,1,1,1,1,0,"1",1,49,4,1946,122,2000,13,14,"employment",0,1
70,0,1,1,1,1,0,"1",1,49,4,1946,122,1998,13,14,"employment",0,3
83,0,1,1,1,1,0,"1",1,49,4,1946,122,1998,13,14,"employment",0,3
1210,0,1,1,1,1,0,"1",1,49,4,1946,122,2002,13,14,"employment",0,1
1494,0,1,1,1,1,0,"1",1,49,4,1946,122,2002,13,14,"employment",0,1
1499,0,1,1,1,1,0,"1",1,49,4,1946,122,2002,13,14,"employment",0,1
1506,0,1,1,1,1,0,"1",1,49,4,1946,122,2001,13,14,"employment",0,3
1507,0,1,1,1,1,0,"1",1,49,4,1946,122,2001,13,14,"employment",0,3
1517,0,1,1,1,1,0,"1",1,49,4,1946,122,1999,13,14,"employment",0,1
2959,0,1,1,1,1,0,"1",1,49,4,1946,122,2001,13,14,"employment",0,1
2967,0,1,1,1,1,0,"1",1,49,4,1946,122,2001,13,14,"employment",0,2
2978,0,1,1,1,1,0,"1",1,49,4,1946,122,1999,13,14,"employment",0,3
2979,0,1,1,1,1,0,"1",1,49,4,1946,122,1999,13,14,"employment",0,1
2986,0,1,1,1,1,0,"1",1,49,4,1946,122,1998,13,14,"employment",0,1
2989,0,1,1,1,1,0,"1",1,49,4,1946,122,1997,13,14,"employment",0,3
2991,0,1,1,1,1,0,"1",1,49,4,1946,122,1997,13,14,"employment",0,1
4130,0,1,1,1,1,0,"1",1,49,4,1946,122,1996,13,14,"employment",0,1
45,2,0,0,2,NA,0,"1",NA,NA,NA,NA,123,2001,NA,NA,"employment",1,1
47,2,0,0,2,NA,0,"1",NA,NA,NA,NA,123,2001,NA,NA,"employment",1,3
2952,2,0,0,2,NA,0,"1",NA,NA,NA,NA,123,2002,NA,NA,"employment",1,1
2956,2,0,0,2,NA,0,"1",NA,NA,NA,NA,123,2002,NA,NA,"employment",1,2
2960,2,0,0,2,NA,0,"1",NA,NA,NA,NA,123,2001,NA,NA,"employment",1,3
2966,2,0,0,2,NA,0,"1",NA,NA,NA,NA,123,2001,NA,NA,"employment",1,3
2969,2,0,0,2,NA,0,"1",NA,NA,NA,NA,123,2000,NA,NA,"employment",1,1
2976,2,0,0,2,NA,0,"1",NA,NA,NA,NA,123,1999,NA,NA,"employment",1,1
2953,0,2,0,2,NA,1,"1",NA,NA,NA,NA,124,2002,NA,NA,"employment",0,1
2954,0,2,0,2,NA,1,"1",NA,NA,NA,NA,124,2002,NA,NA,"employment",0,1
1613,1,3,0,4,1,1,"2",2,57,4,1928,201,1997,13,14,"employment",1,1
1614,1,3,0,4,1,1,"2",2,57,4,1928,201,1997,13,14,"employment",1,3
86,2,1,0,3,1,0,"2",2,46,5,1920,206,2002,13,14,"employment",1,2
99,2,1,0,3,1,0,"2",2,46,5,1920,206,2001,13,14,"employment",1,3
104,2,1,0,3,1,0,"2",2,46,5,1920,206,2001,13,14,"employment",1,3
156,2,1,0,3,1,0,"2",2,46,5,1920,206,1997,13,14,"employment",1,3
163,2,1,0,3,1,0,"2",2,46,5,1920,206,1996,13,14,"employment",1,3
3081,3,3,0,6,1,1,"2",2,55,4,1931,219,1996,13,14,"employment",1,3
