"","name","V1","circuit.1","child","girls","sons","woman","age","yearb","race","religion","republican","songerID","progressive.vote","no_cases"
"1","Alarcon, Arthur L.",1,9,3,1,2,0,54,1925,3,4,0,901,0,6
"2","Aldisert, Ruggero",2,3,3,1,2,0,49,1919,1,4,0,302,0.666666666666667,3
"3","Aldrich, Bailey",3,1,2,0,2,0,52,1907,1,1,1,101,0.333333333333333,3
"4","Alito, Samuel A., Jr.",4,3,2,1,1,0,40,1950,1,4,1,340,0.5,6
"5","Altimari, Frank X.",5,2,4,1,3,0,57,1928,1,4,1,201,0.5,2
"6","Anderson, Stephen H.",8,10,1,1,0,0,53,1932,1,NA,1,1001,0.153846153846154,13
"7","Arnold, Morris S.",9,8,0,0,0,0,51,1941,1,2,1,841,0.515151515151515,33
"8","Arnold, Richard S.",10,8,2,2,0,0,44,1936,1,2,0,801,0.444444444444444,18
"9","Baldock, Bobby R.",11,10,2,0,2,0,49,1936,1,3,1,1002,0.2,15
"10","Barkett, Rosemary",12,11,0,0,0,1,NA,1939,1,4,0,1123,0.6,5
"11","Barksdale, Rhesa H.",13,5,0,0,0,0,46,1944,1,2,1,564,0.428571428571429,14
"12","Barrett, James E.",14,10,3,1,2,0,49,1922,1,4,1,1003,0.333333333333333,12
"13","Barry, Maryanne",15,3,1,0,1,1,NA,1928,1,5,0,346,0,5
"14","Batchelder, Alice M.",16,6,2,1,1,1,47,1944,1,2,1,647,0.176470588235294,17
"15","Bauer, William J.",17,7,2,2,0,0,49,1926,1,4,1,703,0.4,30
"16","Beam, Clarence A.",18,8,5,0,5,0,57,1930,1,7,1,802,0.378378378378378,37
"17","Becker, Edward R.",19,3,3,1,2,0,49,1933,1,5,1,303,0.444444444444444,9
"18","Beezer, Robert R.",20,9,3,1,2,0,56,1928,1,4,1,904,0,5
"19","Benavides, Fortunato Pedro",21,5,2,2,0,0,NA,1947,3,2,0,566,0.416666666666667,12
"20","Berzon, Marsha",22,9,2,1,1,1,NA,NA,NA,NA,0,984,0.333333333333333,3
"21","Birch, Stanley F., Jr.",23,11,1,1,0,0,45,1945,1,2,1,1119,0.545454545454545,11
"22","Black, Susan H.",24,11,0,0,0,1,49,1943,1,2,1,1121,0.111111111111111,9
"23","Boggs, Danny J.",25,6,3,2,1,0,42,1944,1,5,1,603,0.214285714285714,14
"24","Boudin, Michael",26,1,3,1,2,0,53,1939,1,5,1,120,0.466666666666667,15
"25","Bowman, Pasco M.",27,8,3,2,1,0,50,1933,1,3,1,805,0.227272727272727,44
"26","Bownes, Hugh",28,1,3,1,2,0,57,1920,1,8,0,104,0.571428571428571,7
"27","Bright, Myron",29,8,2,1,1,0,49,1919,1,5,0,806,0.5,6
"28","Briscoe, Mary",30,10,0,0,0,1,48,1947,1,99,0,1031,0.242424242424242,33
