name,z,circuit,child,girls,sons,woman,age,race,religion,republican,songerID,no_cases,agemiss,religmiss,racemiss,race.0,race.1,race.2,race.3,race.4,religion.0,religion.1,religion.10,religion.2,religion.3,religion.4,religion.5,religion.7,religion.8,religion.9,religion.99,circuit.1,circuit.10,circuit.11,circuit.12,circuit.2,circuit.3,circuit.4,circuit.5,circuit.6,circuit.7,circuit.8,circuit.9,pscore,matches
"Alarcon, Arthur L.",1,9,3,1,2,0,54,3,4,0,901,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
"Aldisert, Ruggero",1,3,3,1,2,0,49,1,4,0,302,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.920838752934605,
"Aldrich, Bailey",0,1,2,0,2,0,52,1,1,1,101,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.776823174281652,1.23
"Alito, Samuel A., Jr.",1,3,2,1,1,0,40,1,4,1,340,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.88831338181547,1.27
"Altimari, Frank X.",1,2,4,1,3,0,57,1,4,1,201,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.762292816016409,
"Anderson, Stephen H.",1,10,1,1,0,0,53,1,0,1,1001,13,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999999983967956,
"Arnold, Richard S.",1,8,2,2,0,0,44,1,2,0,801,18,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.920150274901443,
"Baldock, Bobby R.",0,10,2,0,2,0,49,1,3,1,1002,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.840064579411348,1.29
"Barrett, James E.",1,10,3,1,2,0,49,1,4,1,1003,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.859440210989216,1.29
"Barry, Maryanne",0,3,1,0,1,1,0,1,5,0,346,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.55943632564238,1.1
"Batchelder, Alice M.",1,6,2,1,1,1,47,1,2,1,647,17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.646130162321484,1.12
